Name,Awards,Year,Region
"Bengio, Yoshua",ACM A. M. Turing Award,2018,North America
"Climer, Sharlee",ACM Gordon Bell Prize,2018,North America
"Combs, Gerald",ACM Software System Award,2018,North America
"Daskalakis, Constantinos",ACM Grace Murray Hopper Award,2018,North America
"Deslippe, Jack",ACM Gordon Bell Prize,2018,North America
"Dey, Palash",ACM India Doctoral Dissertation Award,2018,Asia
"Durvasula, Naveen",ACM/CSTA Cutler-Bell Prize in High School Computing,2018,North America
"Eggers, Susan",ACM-IEEE CS Eckert-Mauchly Award,2018,North America
"Fagnan, Kjiersten (Kirsten)",ACM Gordon Bell Prize,2018,North America
"Fatica, Massimiliano",ACM Gordon Bell Prize,2018,North America
"Finn, Chelsea",ACM Doctoral Dissertation Award,2018,North America
"Freedman, Michael J.",ACM Grace Murray Hopper Award,2018,North America
"Gagliardi, Fabrizio",ACM Presidential Award,2018,Europe
"Gesenhues, Linda",ACM-IEEE CS George Michael Memorial HPC Fellowships,2018,Latin America
"Goldsmith, Andrea",ACM Athena Lecturer Award,2018,North America
"Gotterbarn, Don",ACM Presidential Award,2018,North America
"Hinton, Geoffrey E",ACM A. M. Turing Award,2018,North America
"Hohnerbach, Markus",ACM-IEEE CS George Michael Memorial HPC Fellowships,2018,Europe
"Houston, Michael",ACM Gordon Bell Prize,2018,North America
"Jacobson, Daniel",ACM Gordon Bell Prize,2018,North America
"Joubert, Wayne",ACM Gordon Bell Prize,2018,North America
"Justice, Amy",ACM Gordon Bell Prize,2018,North America
"Kainer, David",ACM Gordon Bell Prize,2018,North America
"Kautz, Henry A",ACM AAAI Allen Newell Award,2018,North America
"Kurth, Thorsten",ACM Gordon Bell Prize,2018,North America
"LeCun, Yann",ACM A. M. Turing Award,2018,North America
"Luehr, Nathan",ACM Gordon Bell Prize,2018,North America
"Ma, Tengyu",ACM Doctoral Dissertation Award,2018,North America
"Mahesh, Ankur",ACM Gordon Bell Prize,2018,North America
"matheson, mike",ACM Gordon Bell Prize,2018,North America
"Matsubara, Yasuko",IPSJ/ACM Award for Early Career Contributions to Global Research,2018,Asia
"McGettrick, Andrew",ACM Presidential Award,2018,Europe
"Mudigonda, Mayur",ACM Gordon Bell Prize,2018,North America
"Patel, Shwetak N",ACM Prize in Computing,2018,North America
"Pevzner, Pavel",ACM Paris Kanellakis Theory and Practice Award,2018,North America
"Phillips, Everett Houston",ACM Gordon Bell Prize,2018,North America
"Prabhat, Mr",ACM Gordon Bell Prize,2018,North America
"Puri, Isha",ACM/CSTA Cutler-Bell Prize in High School Computing,2018,North America
"Romero, Joshua",ACM Gordon Bell Prize,2018,North America
"Rosenblum, Mendel","ACM Charles P. ""Chuck"" Thacker Breakthrough in Computing Award",2018,North America
"Sanyal, Swagato",ACM India Doctoral Dissertation Award,2018,Asia
"Saxena, Eshika",ACM/CSTA Cutler-Bell Prize in High School Computing,2018,North America
"Sedgewick, Robert",ACM Karl V. Karlstrom Outstanding Educator Award,2018,North America
"Shenoy, Varun",ACM/CSTA Cutler-Bell Prize in High School Computing,2018,North America
"Stephenson, Chris",Outstanding Contribution to ACM Award,2018,North America
"Treichler, Sean",ACM Gordon Bell Prize,2018,North America
"Weighill, Deborah",ACM Gordon Bell Prize,2018,North America
"Avila, Damian",ACM Software System Award,2017,Latin America
"Boden, Margaret A.",ACM AAAI Allen Newell Award,2017,Europe
"Bourne, Stephen",Outstanding Contribution to ACM Award,2017,North America
"Bussonnier, Matthias",ACM Software System Award,2017,North America
"Chen, Bingwei",ACM Gordon Bell Prize,2017,Asia
"Chen, Xiaofei",ACM Gordon Bell Prize,2017,Asia
"Corlay, Sylvain",ACM Software System Award,2017,Europe
"Cuny, Janice",ACM Distinguished Service Award,2017,North America
"Frederic, Jonathan",ACM Software System Award,2017,North America
"Fu, Haohuan",ACM Gordon Bell Prize,2017,Asia
"Gal-Ezer, Judith",ACM Karl V. Karlstrom Outstanding Educator Award,2017,Europe
"Ghaffari, Mohsen",ACM Doctoral Dissertation Award,2017,Middle East
"Granger, Brian",ACM Software System Award,2017,North America
"Grout, Jason",ACM Software System Award,2017,North America
"Guha, Sreya",ACM/CSTA Cutler-Bell Prize in High School Computing,2017,North America
"Gulur, Nagendra",ACM India Doctoral Dissertation Award,2017,Asia
"Gurjar, Rohit",ACM India Doctoral Dissertation Award,2017,Asia
"Hamrick, Jessica",ACM Software System Award,2017,North America
"He, Conghui",ACM Gordon Bell Prize,2017,Asia
"Helmy, Amir",ACM/CSTA Cutler-Bell Prize in High School Computing,2017,North America
"Hennessy, John L",ACM A. M. Turing Award,2017,North America
"Hughes, Thomas J.R.",SIAM/ACM Prize in Computational Science and Engineering,2017,North America
"Ivanov, Paul",ACM Software System Award,2017,North America
"Jin, Amy",ACM/CSTA Cutler-Bell Prize in High School Computing,2017,North America
"Katabi, Dina",ACM Prize in Computing,2017,North America
"Kavraki, Lydia",ACM Athena Lecturer Award,2017,North America
"Kelley, Kyle",ACM Software System Award,2017,North America
"Kluyer, Thomas",ACM Software System Award,2017,North America
"Labarta, Jesus",ACM-IEEE CS Ken Kennedy Award,2017,Europe
"Liu, Weiguo",ACM Gordon Bell Prize,2017,Asia
"Mueller, Stefanie",ACM Doctoral Dissertation Award,2017,Europe
"Parente, Peter James",ACM Software System Award,2017,North America
"Patterson, David",ACM A. M. Turing Award,2017,North America
"Perez, Fernando",ACM Software System Award,2017,North America
"Ragan-Kelley, Benjamin",ACM Software System Award,2017,North America
"Randles, Amanda",ACM Grace Murray Hopper Award,2017,North America
"Rubinstein, Aviad",ACM Doctoral Dissertation Award,2017,Europe
"Shenker, Scott J",ACM Paris Kanellakis Theory and Practice Award,2017,North America
"Silvester, Steven",ACM Software System Award,2017,North America
"Smith, Shaden",ACM-IEEE CS George Michael Memorial HPC Fellowships,2017,North America
"Spector, Benjamin F",ACM/CSTA Cutler-Bell Prize in High School Computing,2017,North America
"Thacker, Charles P",ACM-IEEE CS Eckert-Mauchly Award,2017,North America
"Truell, Michael",ACM/CSTA Cutler-Bell Prize in High School Computing,2017,North America
"Vardi, Moshe Y",ACM Presidential Award,2017,North America
"Wanwang, Yin",ACM Gordon Bell Prize,2017,Asia
"Willing, Carol",ACM Software System Award,2017,North America
"Wulf, William A",ACM Policy Award,2017,North America
"Xue, Wei",ACM Gordon Bell Prize,2017,Asia
"Yang, Guangwen",ACM Gordon Bell Prize,2017,Asia
"Yin, Zekun",ACM Gordon Bell Prize,2017,Asia
"You, Yang",ACM-IEEE CS George Michael Memorial HPC Fellowships,2017,North America
"Zhang, Tingjian",ACM Gordon Bell Prize,2017,Asia
"Zhang, Wenqiang",ACM Gordon Bell Prize,2017,Asia
"Zhang, Zhenguo",ACM Gordon Bell Prize,2017,Asia
"Al Hassanieh, Haitham",ACM Doctoral Dissertation Award,2016,North America
"Ao, Yulong",ACM Gordon Bell Prize,2016,Asia
"Astrachan, Owen",ACM Karl V. Karlstrom Outstanding Educator Award,2016,North America
"Bailis, Peter",ACM Doctoral Dissertation Award,2016,North America
"Banks, Ken",ACM Eugene L. Lawler Award for Humanitarian Contributions within Computer Science and Informatics,2016,Europe
"Barr, Valerie",Outstanding Contribution to ACM Award,2016,North America
"Berners-Lee, Tim",ACM A. M. Turing Award,2016,Europe
"Efros, Alexei A.",ACM Prize in Computing,2016,Europe
"Fiat, Amos",ACM Paris Kanellakis Theory and Practice Award,2016,Europe
"Fu, Haohuan",ACM Gordon Bell Prize,2016,Asia
"Gan, Lin",ACM Gordon Bell Prize,2016,Asia
"Gropp, William D",ACM-IEEE CS Ken Kennedy Award,2016,North America
"Heer, Jeffrey Michael",ACM Grace Murray Hopper Award,2016,North America
"Howard, John H",ACM Software System Award,2016,North America
"Hu, Elizabeth",ACM/CSTA Cutler-Bell Prize in High School Computing,2016,North America
"Huebl, Axel",ACM-IEEE CS George Michael Memorial HPC Fellowships,2016,Europe
"Kazar, Michael Leon",ACM Software System Award,2016,North America
"Liu, Fangfang",ACM Gordon Bell Prize,2016,Asia
"Malik, Jitendra",ACM AAAI Allen Newell Award,2016,North America
"Naor, Moni",ACM Paris Kanellakis Theory and Practice Award,2016,Europe
"Nichols, David A",ACM Software System Award,2016,North America
"Nichols, Sherri",ACM Software System Award,2016,North America
"Raychev, Veselin",ACM Doctoral Dissertation Award,2016,Europe
"Rexford, Jennifer",ACM Athena Lecturer Award,2016,North America
"Rudi, Johann",ACM-IEEE CS George Michael Memorial HPC Fellowships,2016,North America
"Satyanarayanan, Mahadev",ACM Software System Award,2016,North America
"Schimpf, Gerhard",ACM Presidential Award,2016,Europe
"Shustek, Leonard J",ACM Distinguished Service Award,2016,North America
"Sidebotham, Robert N.",ACM Software System Award,2016,North America
"Spector, Alfred Z",ACM Software System Award,2016,North America
"Stephenson, Chris",ACM Presidential Award,2016,North America
"Swartz, Avi",ACM/CSTA Cutler-Bell Prize in High School Computing,2016,North America
"Walter, Aaron",ACM/CSTA Cutler-Bell Prize in High School Computing,2016,North America
"Wang, Lanning",ACM Gordon Bell Prize,2016,Asia
"Wang, Xinliang",ACM Gordon Bell Prize,2016,Asia
"Weiser, Uri",ACM-IEEE CS Eckert-Mauchly Award,2016,Europe
